NewsId,CreateDate,Source,Source_Type,Stock,Topic,Link
F6E95C2D-35AE-4129-877F-378A37B709B9,31:00.0,EfinanceThai,Website,AI, Meta ระงับเปิดตัวฟีเจอร์ผู้ช่วย AI สำหรับผู้ใช้ในยุโรป ปมนโยบายคว...,https://www.efinancethai.com/LastestNews/LatestNewsMain.aspx?ref=A&id=dEpjUlMwL0kvMHM9
4A6BD9A4-9B38-49E0-B00C-3F0FA5840622,31:54.0,RYT9,Website,AI,ไทยพาณิชย์ ร่วมถอดบทเรียนผู้นำดิจิทัลแบงก์ นำ AI เสริมขีดความสามารถให้กับธุรกิจและลูกค้า...,https://www.ryt9.com/s/prg/3523342
FF2AD9AE-1BD2-4381-8013-AF1524AD6490,36:16.0,ข่าวหุ้นธุรกิจ,Website,AI,“แอปเปิ้ล” เปิดตัวกลยุทธ์ AI งาน WWDC ประจำปี 67,https://www.kaohoon.com/news/678508
36DCD851-0B92-4BC0-AE09-565197D608BF,38:00.0,EfinanceThai,Website,AI, ดาวโจนส์บวก 56.76 จุด ด้าน S&P500-แนสแดคนิวไฮต่อเนื่อง AI หนุนแรง...,https://www.efinancethai.com/LastestNews/LatestNewsMain.aspx?ref=A&id=VWI2aFB6QVBqTjQ9
07BB920E-CA8F-49FB-822F-4BA070DBC9DB,38:00.0,EfinanceThai,Website,AI, พลานุภาพแห่ง AI Apple เบียด Microsoft ขึ้นแท่นบริษัทมาร์เก็ตแคปสู...,https://www.efinancethai.com/LastestNews/LatestNewsMain.aspx?ref=A&id=bVk5NG9XK3NSU1E9
1B407AFD-7AAD-4ABB-8ECE-34D8AEFCCBEE,43:32.0,RYT9,Website,AI,ADVANC ผนึก Looloo Technology ร่วมออกแบบพิมพ์เขียว AI เพื่อความยั่งยืนคาดเสร็จ...,https://www.ryt9.com/s/iq05/3524945
BA803ABF-9B2F-452A-A794-F65A570F53E7,43:53.0,Pantip Sinthorn,Webboard,AI,"$€?? ByteDance plans $2.1 bln investment in Malaysia for AI, minister says....ไม่จริ๊งงงการลงทุนการเงินValue Investmentหุ้น",https://pantip.com/topic/42783703
0F8D3129-9A00-47A0-B34C-C0B227E97AE9,48:00.0,EfinanceThai,Website,AI, สรุป Opp Day: ADVICE ลั่นงบ Q3/67 โตกระโดด รับสินค้า AI หนุนดีมาน...,https://www.efinancethai.com/LastestNews/LatestNewsMain.aspx?ref=A&id=dXBHNHRyV2ZnUVE9&security=ADVICE
A538C762-815E-4863-9473-3DE248C56C10,50:59.0,RYT9,Website,AI,BBLAM เสนอขาย IPO BP13/24(AI) วันที่ 19-21 มิ.ย. 2567,https://www.ryt9.com/s/prg/3525133
EBFA969D-7FCB-43C1-8796-ED646E43401F,52:00.0,EfinanceThai,Website,AI, Bitwise คาดการณ์ว่าอุตสาหกรรมคริปโทและ AI จะผลักดัน GDP โลกได้กว่...,https://www.efinancethai.com/LastestNews/LatestNewsMain.aspx?ref=A&id=UHBlZDJrSTZyaWc9
43CA6893-E673-4306-AF38-57D9B2EBBABA,52:00.0,EfinanceThai,Website,AI, Samsung เล็งเสนอบริการผลิตชิปครบวงจร-ร่นเวลาส่งมอบ รับดีมานด์ AI ...,https://www.efinancethai.com/LastestNews/LatestNewsMain.aspx?ref=A&id=RGF2cTF1algrTHM9
DF824751-9FC2-4CDF-9445-2EEBC6F6C200,54:00.0,EfinanceThai,Website,AI, สหรัฐฯ เล็งคุมเข้มส่งออกชิป AI ไปจีนรอบใหม่ สกัดเข้าถึงเทคโนโลยี ...,https://www.efinancethai.com/LastestNews/LatestNewsMain.aspx?ref=A&id=UWFjME95M2R0Tm89
